id;dart;x;y;z
437;0x600001e575c0;-0.974279;-0.216506;0.5625
438;0x600001e5d7c0;-0.965926;0.25;-0.258819
439;0x600001e6c7c0;0.314855;-0.125;-1.17506
440;0x600001e54dc0;-1.03937;0.216506;0.430518
441;0x600001e69dc0;0.430519;0.216506;-1.03936
442;0x600001e6bbc0;0.202783;0.125;-0.756797
443;0x600001e625c0;-0.291171;-0.216506;-1.08667
444;0x600001e68bc0;0.391747;0.125;-0.678525
445;0x600001e771c0;0.532666;0.216506;-0.694184
446;0x600001e717c0;0.723854;-0.125;-0.29983
447;0x600001e727c0;0.866025;0.25;-0.5
448;0x600001e77dc0;0.684857;-0.216506;-0.892522
449;0x600001e773c0;0.476961;0.125;-0.621587
450;0x600001e4a7c0;-0.8602;-0.125;0.8602
451;0x600001e687c0;0.5;0.25;-0.866025
452;0x600001e779c0;0.532666;-0.216506;-0.694184
453;0x600001e7f7c0;0.965926;0.25;-0.258819
454;0x600001e4e7c0;-0.29983;-0.125;0.723854
455;0x600001e70bc0;1.1239;0.125;-0.465537
456;0x600001e763c0;0.707107;-0.25;-0.707107
457;0x600001e5d3c0;-1.17506;0.125;-0.314855
458;0x600001e38dc0;0.375;-0;0.649519
459;0x600001e77f80;0.760952;0;-0.991691
460;0x600001e761c0;0.618718;-0.216506;-0.618719
461;0x600001e71bc0;0.92388;-0.25;-0.382683
462;0x600001e74dc0;0.892523;-0.216506;-0.684856
463;0x600001e65780;-0.625;0;-1.08253
464;0x600001e6a1c0;0.334848;0.216506;-0.808394
465;0x600001e597c0;-0.621587;-0.125;-0.476961
466;0x600001e74bc0;0.793353;-0.25;-0.608761
467;0x600001e5ffc0;-1.2061;-0.125;-0.158786
468;0x600001e663c0;-0.476961;0.125;-0.621587
469;0x600001e749c0;0.694184;-0.216506;-0.532666
470;0x600001e77fc0;0.740562;-0.125;-0.965119
471;0x600001e45bc0;0.202783;0.125;0.756797
472;0x600001e54780;-1.20741;-0;0.323524
473;0x600001e70dc0;1.03936;0.216506;-0.430519
474;0x600001e32a80;1.21651;0.125;0
475;0x600001e741c0;0.694184;0.216506;-0.532666
476;0x600001e46780;0.323523;-0;1.20741
477;0x600001e68fc0;0.391747;-0.125;-0.678525
478;0x600001e64fc0;-0.391747;-0.125;-0.678525
479;0x600001e73dc0;0.892523;0.216506;-0.684856
480;0x600001e7dbc0;1.2061;0.125;-0.158786
481;0x600001e73bc0;0.965119;0.125;-0.740562
482;0x600001e62780;-0.323524;0;-1.20741
483;0x600001e74f80;0.991692;0;-0.760952
484;0x600001e3d9c0;0.694184;-0.216506;0.532666
485;0x600001e737c0;1.05352;-0.125;-0.608253
486;0x600001e735c0;0.974279;-0.216506;-0.5625
487;0x600001e68dc0;0.375;0;-0.649519
488;0x600001e4ef80;-0.478354;-0;1.15485
489;0x600001e72dc0;0.649519;0;-0.375
490;0x600001e72bc0;0.678525;0.125;-0.391747
491;0x600001e729c0;0.757772;0.216506;-0.4375
492;0x600001e67fc0;-0.554014;-0.125;-0.554013
493;0x600001e429c0;0;0.216506;0.875
494;0x600001e765c0;0.795495;-0.216506;-0.795495
495;0x600001e723c0;1.05352;0.125;-0.608253
496;0x600001e563c0;-1.05353;0.125;0.608253
497;0x600001e509c0;-0.875;0.216506;0
498;0x600001e713c0;0.723854;0.125;-0.29983
499;0x600001e4f3c0;-0.314855;0.125;1.17506
500;0x600001e33a80;1;-0.25;-0
501;0x600001e4c5c0;-0.5625;0.216506;0.974279
502;0x600001e387c0;0.5;0.25;0.866025
503;0x600001e757c0;0.707107;0.25;-0.707107
504;0x600001e547c0;-1.17506;-0.125;0.314855
505;0x600001e4fdc0;-0.194115;-0;0.724444
506;0x600001e703c0;0.965926;-0.25;-0.258819
507;0x600001e7ffc0;0.756797;-0.125;-0.202783
508;0x600001e7fdc0;0.724444;0;-0.194114
509;0x600001e7f9c0;0.845185;0.216506;-0.226467
510;0x600001e6fdc0;-0.146842;0.216506;-1.11538
511;0x600001e327c0;1.17506;-0.125;0.314855
512;0x600001e33280;0.783494;0.125;0
513;0x600001e7efc0;1.2061;-0.125;-0.158786
514;0x600001e595c0;-0.595015;0;-0.456571
515;0x600001e46fc0;0.382684;0.25;0.923879
516;0x600001e6c780;0.323524;0;-1.20741
